Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
HSS	HSS177.8X127X3.2	1740	803	48.3	17.8                
HSS	HSS177.8X101.6X12.7	5680	2110	86.2	17.8            
HSS	HSS177.8X101.6X9.5	4440	1740	72	17.8               
HSS	HSS177.8X101.6X7.9	3770	1520	63.3	17.8             
HSS	HSS177.8X101.6X6.4	3080	1270	53.3	17.8             
HSS	HSS177.8X101.6X4.8	2340	991	41.6	17.8              
HSS	HSS177.8X101.6X3.2	1590	691	29.3	17.8              
HSS	HSS177.8X76.2X12.7	5080	1690	42.5	17.8             
HSS	HSS177.8X76.2X9.5	3990	1420	36.3	17.8              
HSS	HSS177.8X76.2X7.9	3390	1240	32.2	17.8              
HSS	HSS177.8X76.2X6.4	2770	1050	27.5	17.8              
HSS	HSS177.8X76.2X4.8	2120	824	21.8	17.8               
HSS	HSS177.8X76.2X3.2	1440	574	15.4	17.8               
HSS	HSS177.8X50.8X6.4	2480	824	10.7	17.8               
HSS	HSS177.8X50.8X4.8	1890	653	8.74	17.8               
HSS	HSS177.8X50.8X3.2	1290	462	6.33	17.8               
HSS	HSS152.4X152.4X15.9	7550	2300	230	15.2             
HSS	HSS152.4X152.4X12.7	6280	2010	201	15.2             
HSS	HSS152.4X152.4X9.5	4890	1640	164	15.2              
HSS	HSS152.4X152.4X7.9	4150	1430	143	15.2              
HSS	HSS152.4X152.4X6.4	3380	1190	119	15.2              
HSS	HSS152.4X152.4X4.8	2570	928	92.8	15.2              
HSS	HSS152.4X152.4X3.2	1740	645	64.5	15.2              
HSS	HSS152.4X127X12.7	5680	1710	128	15.2               
HSS	HSS152.4X127X9.5	4440	1410	106	15.2                
HSS	HSS152.4X127X7.9	3770	1230	92.8	15.2               
HSS	HSS152.4X127X6.4	3080	1030	77.8	15.2               
HSS	HSS152.4X127X4.8	2340	803	60.8	15.2                
HSS	HSS152.4X127X3.2	1590	558	42.5	15.2                
HSS	HSS152.4X101.6X12.7	5080	1420	74.1	15.2            
HSS	HSS152.4X101.6X9.5	3990	1180	62	15.2               
HSS	HSS152.4X101.6X7.9	3390	1030	54.9	15.2             
HSS	HSS152.4X101.6X6.4	2770	870	46.2	15.2              
HSS	HSS152.4X101.6X4.8	2120	683	36.5	15.2              
HSS	HSS152.4X101.6X3.2	1440	475	25.6	15.2              
HSS	HSS152.4X76.2X12.7	4480	1120	36.2	15.2             
HSS	HSS152.4X76.2X9.5	3540	945	31.1	15.2               
HSS	HSS152.4X76.2X7.9	3020	837	27.8	15.2               
HSS	HSS152.4X76.2X6.4	2480	708	23.7	15.2               
HSS	HSS152.4X76.2X4.8	1890	558	18.9	15.2               
HSS	HSS152.4X76.2X3.2	1290	393	13.4	15.2               
HSS	HSS152.4X50.8X9.5	3080	712	11.5	15.2               
HSS	HSS152.4X50.8X7.9	2650	637	10.5	15.2               
HSS	HSS152.4X50.8X6.4	2170	545	9.2	15.2                
HSS	HSS152.4X50.8X4.8	1660	437	7.49	15.2               
HSS	HSS152.4X50.8X3.2	1140	309	5.45	15.2               
HSS	HSS139.7X139.7X9.5	4440	1240	124	14                
HSS	HSS139.7X139.7X7.9	3770	1080	108	14                
HSS	HSS139.7X139.7X6.4	3080	903	90.3	14                
HSS	HSS139.7X139.7X4.8	2340	708	70.8	14                
HSS	HSS139.7X139.7X3.2	1590	491	49.1	14                
HSS	HSS127X127X12.7	5080	1080	108	12.7                 
HSS	HSS127X127X9.5	3990	903	90.3	12.7                  
HSS	HSS127X127X7.9	3390	791	79.1	12.7                  
HSS	HSS127X127X6.4	2770	666	66.6	12.7                  
HSS	HSS127X127X4.8	2120	524	52.4	12.7                  
HSS	HSS127X127X3.2	1440	366	36.6	12.7                  
HSS	HSS127X101.6X12.7	4480	882	62	12.7                 
HSS	HSS127X101.6X9.5	3540	745	52.4	12.7                
HSS	HSS127X101.6X7.9	3020	658	46.2	12.7                
HSS	HSS127X101.6X6.4	2480	558	39.4	12.7                
HSS	HSS127X101.6X4.8	1890	441	31.1	12.7                
HSS	HSS127X101.6X3.2	1290	309	21.9	12.7                
HSS	HSS127X76.2X12.7	3880	683	29.9	12.7                
HSS	HSS127X76.2X9.5	3080	587	26	12.7                   
HSS	HSS127X76.2X7.9	2650	524	23.3	12.7                 
HSS	HSS127X76.2X6.4	2170	445	20	12.7                   
HSS	HSS127X76.2X4.8	1660	355	16	12.7                   
HSS	HSS127X76.2X3.2	1140	251	11.4	12.7                 
HSS	HSS127X63.5X6.4	2030	391	13	12.7                   
HSS	HSS127X63.5X4.8	1550	313	10.5	12.7                 
HSS	HSS127X63.5X3.2	1060	222	7.58	12.7                 
HSS	HSS127X50.8X9.5	2640	433	9.49	12.7                 
HSS	HSS127X50.8X7.9	2270	389	8.74	12.7                 
HSS	HSS127X50.8X6.4	1880	336	7.66	12.7                 
HSS	HSS127X50.8X4.8	1450	271	6.29	12.7                 
HSS	HSS127X50.8X3.2	994	194	4.58	12.7                  
HSS	HSS114.3X114.3X12.7	4480	753	75.3	11.4             
HSS	HSS114.3X114.3X9.5	3540	637	63.7	11.4              
HSS	HSS114.3X114.3X7.9	3020	562	56.2	11.4              
HSS	HSS114.3X114.3X6.4	2480	475	47.5	11.4              
HSS	HSS114.3X114.3X4.8	1890	375	37.5	11.4              
HSS	HSS114.3X114.3X3.2	1290	264	26.4	11.4              
HSS	HSS101.6X101.6X12.7	3880	495	49.5	10.2             
HSS	HSS101.6X101.6X9.5	3080	429	42.9	10.2              
HSS	HSS101.6X101.6X7.9	2650	380	38	10.2                
HSS	HSS101.6X101.6X6.4	2170	325	32.5	10.2              
HSS	HSS101.6X101.6X4.8	1660	258	25.8	10.2              
HSS	HSS101.6X101.6X3.2	1140	183	18.3	10.2              
HSS	HSS101.6X76.2X9.5	2640	330	20.9	10.2               
HSS	HSS101.6X76.2X7.9	2270	297	18.8	10.2               
HSS	HSS101.6X76.2X6.4	1880	256	16.3	10.2               
HSS	HSS101.6X76.2X4.8	1450	205	13.2	10.2               
HSS	HSS101.6X76.2X3.2	994	147	9.45	10.2                
HSS	HSS101.6X63.5X9.5	2410	282	13.2	10.2               
HSS	HSS101.6X63.5X7.9	2080	255	12	10.2                 
HSS	HSS101.6X63.5X6.4	1720	221	10.5	10.2               
HSS	HSS101.6X63.5X4.8	1330	179	8.57	10.2               
HSS	HSS101.6X63.5X3.2	916	129	6.2	10.2                 
HSS	HSS101.6X50.8X9.5	2190	233	7.49	10.2               
HSS	HSS101.6X50.8X7.9	1900	214	6.95	10.2               
HSS	HSS101.6X50.8X6.4	1570	187	6.16	10.2               
HSS	HSS101.6X50.8X4.8	1220	152	5.08	10.2               
HSS	HSS101.6X50.8X3.2	839	110	3.74	10.2                
HSS	HSS88.9X88.9X9.5	2640	270	27	8.89                  
HSS	HSS88.9X88.9X7.9	2270	243	24.3	8.89                
HSS	HSS88.9X88.9X6.4	1880	210	21	8.89                  
HSS	HSS88.9X88.9X4.8	1450	169	16.9	8.89                
HSS	HSS88.9X88.9X3.2	994	121	12.1	8.89                 
HSS	HSS88.9X63.5X9.5	2190	198	11.5	8.89                
HSS	HSS88.9X63.5X7.9	1900	181	10.6	8.89                
HSS	HSS88.9X63.5X6.4	1570	158	9.28	8.89                
HSS	HSS88.9X63.5X4.8	1220	129	7.6	8.89                 
HSS	HSS88.9X63.5X3.2	839	92.9	5.53	8.89                
HSS	HSS88.9X50.8X6.4	1430	132	5.41	8.89                
HSS	HSS88.9X50.8X4.8	1100	109	4.5	8.89                 
HSS	HSS88.9X50.8X3.2	768	79.1	3.31	8.89                
HSS	HSS88.9X38.1X6.4	1270	106	2.66	8.89                
HSS	HSS88.9X38.1X4.8	994	88.2	2.26	8.89                
HSS	HSS88.9X38.1X3.2	690	65.3	1.71	8.89                
HSS	HSS76.2X76.2X9.5	2190	157	15.7	7.62                
HSS	HSS76.2X76.2X7.9	1900	144	14.4	7.62                
HSS	HSS76.2X76.2X6.4	1570	126	12.6	7.62                
HSS	HSS76.2X76.2X4.8	1220	102	10.2	7.62                
HSS	HSS76.2X76.2X3.2	839	74.1	7.41	7.62                
HSS	HSS76.2X63.5X7.9	1700	122	9.07	7.62                
HSS	HSS76.2X63.5X6.4	1430	107	8.03	7.62                
HSS	HSS76.2X63.5X4.8	1100	87.8	6.62	7.62               
HSS	HSS76.2X63.5X3.2	768	64.1	4.83	7.62                
HSS	HSS76.2X50.8X7.9	1520	99.1	5.16	7.62               
HSS	HSS76.2X50.8X6.4	1270	88.7	4.62	7.62               
HSS	HSS76.2X50.8X4.8	994	73.7	3.88	7.62                
HSS	HSS76.2X50.8X3.2	690	54.1	2.88	7.62                
HSS	HSS76.2X38.1X6.4	1120	69.9	2.26	7.62               
HSS	HSS76.2X38.1X4.8	884	59.1	1.94	7.62                
HSS	HSS76.2X38.1X3.2	617	44.1	1.48	7.62                
HSS	HSS76.2X25.4X4.8	768	44.5	0.72	7.62                
HSS	HSS76.2X25.4X3.2	542	34	0.574	7.62                 
HSS	HSS63.5X63.5X7.9	1520	75.8	7.58	6.35               
HSS	HSS63.5X63.5X6.4	1270	67.8	6.78	6.35               
HSS	HSS63.5X63.5X4.8	994	56.2	5.62	6.35                
HSS	HSS63.5X63.5X3.2	690	41.5	4.15	6.35                
HSS	HSS63.5X50.8X6.4	1120	55.4	3.87	6.35               
HSS	HSS63.5X50.8X4.8	884	46.6	3.27	6.35                
HSS	HSS63.5X50.8X3.2	617	34.7	2.45	6.35                
HSS	HSS63.5X38.1X6.4	974	42.9	1.87	6.35                
HSS	HSS63.5X38.1X4.8	768	36.7	1.62	6.35                
HSS	HSS63.5X38.1X3.2	542	27.8	1.25	6.35                
HSS	HSS63.5X25.4X4.8	658	26.9	0.595	6.35               
HSS	HSS63.5X25.4X3.2	467	20.9	0.479	6.35               
HSS	HSS57.2X57.2X6.4	1120	47	4.7	5.72                  
HSS	HSS57.2X57.2X4.8	884	39.7	3.97	5.72                
HSS	HSS57.2X57.2X3.2	617	29.6	2.96	5.72                
HSS	HSS57.2X50.8X4.8	826	35.8	2.97	5.72                
HSS	HSS57.2X50.8X3.2	579	26.9	2.24	5.72                
HSS	HSS50.8X50.8X6.4	974	31.1	3.11	5.08                
HSS	HSS50.8X50.8X4.8	768	26.7	2.67	5.08                
HSS	HSS50.8X50.8X3.2	542	20.2	2.02	5.08                
HSS	HSS50.8X38.1X4.8	658	20.6	1.3	5.08                 
